Orthogroup	crunogenapep	magnificapep	okutaniipep
OG0000492	ABB41788	ABL02375	BAF61695
OG0000493	ABB41790	ABL02373	BAF61693
OG0000494	ABB41791	ABL02372	BAF61692
OG0000495	ABB41792	ABL02344	BAF61665
OG0000496	ABB41793	ABL02343	BAF61664
OG0000497	ABB41796	ABL02191	BAF61521
OG0000498	ABB41802	ABL02102	BAF61432
OG0000499	ABB41804	ABL02477	BAF61807
OG0000500	ABB41811	ABL02230	BAF61556
OG0000501	ABB41824	ABL02123	BAF61453
OG0000502	ABB41827	ABL02638	BAF61937
OG0000503	ABB41837	ABL02183	BAF61512
OG0000504	ABB41838	ABL02182	BAF61511
OG0000505	ABB41843	ABL02394	BAF61711
OG0000506	ABB41846	ABL02496	BAF61818
OG0000507	ABB41848	ABL02228	BAF61554
OG0000508	ABB41852	ABL02623	BAF61923
OG0000509	ABB41855	ABL02127	BAF61457
OG0000510	ABB41856	ABL02548	BAF61863
OG0000511	ABB41857	ABL02416	BAF61734
OG0000512	ABB41858	ABL01917	BAF61260
OG0000513	ABB41859	ABL01918	BAF61261
OG0000514	ABB41863	ABL02404	BAF61721
OG0000515	ABB41864	ABL02137	BAF61463
OG0000516	ABB41868	ABL01901	BAF61244
OG0000517	ABB41869	ABL02308	BAF61629
OG0000518	ABB41870	ABL02307	BAF61628
OG0000519	ABB41871	ABL02306	BAF61627
OG0000520	ABB41873	ABL02305	BAF61626
OG0000521	ABB41874	ABL02304	BAF61625
OG0000522	ABB41875	ABL01829	BAF61165
OG0000523	ABB41876	ABL01830	BAF61166
OG0000524	ABB41877	ABL02043	BAF61376
OG0000525	ABB41878	ABL02044	BAF61377
OG0000526	ABB41879	ABL02777	BAF62071
OG0000527	ABB41880	ABL02776	BAF62070
OG0000528	ABB41881	ABL02165	BAF61494
OG0000529	ABB41882	ABL02231	BAF61557
OG0000530	ABB41884	ABL01874	BAF61216
OG0000531	ABB41885	ABL02449	BAF61778
OG0000532	ABB41886	ABL02056	BAF61389
OG0000533	ABB41889	ABL02485	BAF61812
OG0000534	ABB41890, ABB42176	ABL02470	
OG0000535	ABB41901	ABL02499	BAF61820
OG0000536	ABB41904	ABL02103	BAF61433
OG0000537	ABB41906	ABL02089	BAF61421
OG0000538	ABB41907	ABL02156	BAF61486
OG0000539	ABB41920	ABL02501	BAF61822
OG0000540	ABB41925	ABL02711	BAF62005
OG0000541	ABB41926	ABL02712	BAF62006
OG0000542	ABB41927	ABL02713	BAF62007
OG0000543	ABB41944	ABL02637	BAF61936
OG0000544	ABB41954	ABL02410	BAF61726
OG0000545	ABB41955	ABL02409	BAF61725
OG0000546	ABB41956	ABL02408	BAF61724
OG0000547	ABB41958	ABL02407	BAF61723
OG0000548	ABB41959	ABL02406	BAF61722
OG0000549	ABB41962	ABL01902	BAF61245
OG0000550	ABB41966	ABL02266	BAF61589
OG0000551	ABB41967	ABL02274	BAF61596
OG0000552	ABB41968	ABL01939	BAF61283
OG0000553	ABB41969	ABL01940	BAF61284
OG0000554	ABB41970	ABL02639	BAF61938
OG0000555	ABB41976	ABL02543	BAF61858
OG0000556	ABB41981	ABL02064	BAF61398
OG0000557	ABB41982	ABL01896	BAF61237
OG0000558	ABB41983	ABL02238	BAF61564
OG0000559	ABB41984	ABL02081	BAF61414
OG0000560	ABB41988	ABL02083	BAF61416
OG0000561	ABB41990	ABL02181	BAF61510
OG0000562	ABB41991	ABL02261	BAF61584
OG0000563	ABB41992	ABL02260	BAF61583
OG0000564	ABB41993	ABL02259	BAF61582
OG0000565	ABB41994	ABL02258	BAF61581
OG0000566	ABB41995	ABL02521	BAF61838
OG0000567	ABB41997	ABL02379	BAF61700
OG0000568	ABB42000	ABL02461	BAF61790
OG0000569	ABB42001	ABL02462	BAF61791
OG0000570	ABB42002	ABL02683	BAF61981
OG0000571	ABB42003	ABL02147	BAF61478
OG0000572	ABB42004	ABL02148	BAF61479
OG0000573	ABB42053, ABB42280, ABB42727		
OG0000574	ABB42081	ABL02291	BAF61612
OG0000575	ABB42082	ABL02284	BAF61605
OG0000576	ABB42088	ABL02132	BAF61468
OG0000577	ABB42095	ABL02221	BAF61548
OG0000578	ABB42096	ABL02220	BAF61547
OG0000579	ABB42097	ABL02017	BAF61357
OG0000580	ABB42114	ABL02563	BAF61878
OG0000581	ABB42117	ABL02178	BAF61507
OG0000582	ABB42118	ABL02177	BAF61506
OG0000583	ABB42119	ABL02176	BAF61505
OG0000584	ABB42120	ABL02236	BAF61562
OG0000585	ABB42122	ABL02114	BAF61445
OG0000586	ABB42130	ABL02190	BAF61520
OG0000587	ABB42139	ABL02435	BAF61763
OG0000588	ABB42141	ABL01948	BAF61292
OG0000589	ABB42142	ABL02160	BAF61489
OG0000590	ABB42144	ABL02060	BAF61393
OG0000591	ABB42154	ABL02678	BAF61976
OG0000592	ABB42157	ABL02472	BAF61801
OG0000593	ABB42158	ABL02473	BAF61802
OG0000594	ABB42160	ABL02012	BAF61350
OG0000595	ABB42162	ABL02008	BAF61346
OG0000596	ABB42169, ABB42171, ABB42701		
OG0000597	ABB42175	ABL01893	BAF61234
OG0000598	ABB42181	ABL02336	BAF61658
OG0000599	ABB42182	ABL02597	BAF61912
OG0000600	ABB42201	ABL02249	BAF61573
OG0000601	ABB42206	ABL02628	BAF61927
OG0000602	ABB42208	ABL02219	BAF61546
OG0000603	ABB42212	ABL02053	BAF61386
OG0000604	ABB42218	ABL02166	BAF61495
OG0000605	ABB42219	ABL02121	BAF61452
OG0000606	ABB42221	ABL02119	BAF61450
OG0000607	ABB42222	ABL02516	BAF61832
OG0000608	ABB42223	ABL02517	BAF61833
OG0000609	ABB42227	ABL02226	BAF61552
OG0000610	ABB42228	ABL02225	BAF61551
OG0000611	ABB42229	ABL02293	BAF61615
OG0000612	ABB42230	ABL02294	BAF61616
OG0000613	ABB42231	ABL02295	BAF61617
OG0000614	ABB42246	ABL02289	BAF61610
OG0000615	ABB42247	ABL02290	BAF61611
OG0000616	ABB42248	ABL02298	BAF61620
OG0000617	ABB42249	ABL02299	BAF61621
OG0000618	ABB42250	ABL02301	BAF61623
OG0000619	ABB42254	ABL02387	BAF61705
OG0000620	ABB42255	ABL02388	BAF61706
OG0000621	ABB42256	ABL02390	BAF61707
OG0000622	ABB42257	ABL02391	BAF61708
OG0000623	ABB42258	ABL02392	BAF61709
OG0000624	ABB42259	ABL02393	BAF61710
OG0000625	ABB42276	ABL02603, ABL02605	
OG0000626	ABB42285	ABL01861	BAF61201
OG0000627	ABB42289	ABL01880	BAF61222
OG0000628	ABB42290	ABL01987	BAF61328
OG0000629	ABB42331	ABL01812	BAF61148
OG0000630	ABB42332	ABL01942	BAF61286
OG0000631	ABB42334	ABL02100	BAF61430
OG0000632	ABB42338	ABL02626	BAF61925
OG0000633	ABB42339	ABL02234	BAF61560
OG0000634	ABB42340	ABL01999	BAF61337
OG0000635	ABB42347	ABL02186	BAF61517
OG0000636	ABB42348	ABL01898	BAF61241
OG0000637	ABB42355	ABL02278	BAF61599
OG0000638	ABB42373	ABL02369	BAF61689
OG0000639	ABB42374	ABL02367	BAF61687
OG0000640	ABB42388	ABL02727	BAF62022
OG0000641	ABB42398	ABL01904	BAF61247
OG0000642	ABB42399	ABL02075	BAF61410
OG0000643	ABB42401	ABL01984	BAF61326
OG0000644	ABB42402	ABL02686	BAF61983
OG0000645	ABB42403	ABL02667	BAF61963
OG0000646	ABB42404	ABL02666	BAF61962
OG0000647	ABB42407	ABL02197	BAF61527
OG0000648	ABB42408	ABL02198	BAF61528
OG0000649	ABB42411	ABL02554	BAF61869
OG0000650	ABB42413	ABL02466	BAF61795
OG0000651	ABB42414	ABL02568	BAF61882
OG0000652	ABB42418	ABL01851	BAF61191
OG0000653	ABB42420	ABL01849	BAF61188
OG0000654	ABB42421	ABL01848	BAF61187
OG0000655	ABB42426	ABL02016	BAF61355
OG0000656	ABB42429	ABL01912	BAF61255
OG0000657	ABB42439	ABL01899	BAF61242
OG0000658	ABB42442	ABL02636	BAF61935
OG0000659	ABB42446, ABB42659, ABB42700		
OG0000660	ABB42454	ABL02276	BAF61597
OG0000661	ABB42465	ABL02082	BAF61415
OG0000662	ABB42480	ABL02743	BAF62039
OG0000663	ABB42485	ABL02701	BAF61995
OG0000664	ABB42489	ABL02014	BAF61353
OG0000665	ABB42505	ABL02522	BAF61839
OG0000666	ABB42508	ABL02700	BAF61994
OG0000667	ABB42509	ABL02699	BAF61993
OG0000668	ABB42511	ABL02109	BAF61439
OG0000669	ABB42516	ABL02440	BAF61768
OG0000670	ABB42520	ABL02130	BAF61470
OG0000671	ABB42534	ABL02420	BAF61744
OG0000672	ABB42536	ABL02709	BAF62003
OG0000673	ABB42537	ABL02113	BAF61444
OG0000674	ABB42538	ABL02688	BAF61985
OG0000675	ABB42539	ABL01926	BAF61268
OG0000676	ABB42540	ABL01810	BAF61145
OG0000677	ABB42542	ABL02647	BAF61945
OG0000678	ABB42544	ABL02646	BAF61944
OG0000679	ABB42546	ABL02774	BAF62068
OG0000680	ABB42548	ABL02587	BAF61902
OG0000681	ABB42551	ABL01876	BAF61218
OG0000682	ABB42552	ABL01875	BAF61217
OG0000683	ABB42553	ABL01844	BAF61182
OG0000684	ABB42554	ABL01843	BAF61180
OG0000685	ABB42555	ABL01842	BAF61179
OG0000686	ABB42556	ABL02659	BAF61954
OG0000687	ABB42557	ABL02658	BAF61953
OG0000688	ABB42558	ABL02684	BAF61982
OG0000689	ABB42559	ABL01831	BAF61167
OG0000690	ABB42560	ABL02069	BAF61403
OG0000691	ABB42561	ABL02542	BAF61857
OG0000692	ABB42562	ABL02068	BAF61402
OG0000693	ABB42563	ABL02067	BAF61401
OG0000694	ABB42564	ABL02066	BAF61400
OG0000695	ABB42568	ABL02254	BAF61578
OG0000696	ABB42569	ABL02552	BAF61867
OG0000697	ABB42570	ABL02553	BAF61868
OG0000698	ABB42577	ABL01915	BAF61258
OG0000699	ABB42588	ABL01836	BAF61172
OG0000700	ABB42612	ABL02189	BAF61519
OG0000701	ABB42642	ABL02702	BAF61996
OG0000702	ABB42648	ABL01892	BAF61233
OG0000703	ABB42722	ABL02312	BAF61633
OG0000704	ABB42724	ABL02117	BAF61448
OG0000705	ABB42725	ABL02334	BAF61656
OG0000706	ABB42726	ABL02311	BAF61632
OG0000707	ABB42731	ABL02169	BAF61498
OG0000708	ABB42737	ABL02040	BAF61374
OG0000709	ABB42738	ABL02640	BAF61939
OG0000710	ABB42741	ABL02641	BAF61940
OG0000711	ABB42742	ABL02642	BAF61941
OG0000712	ABB42749	ABL01873	BAF61215
OG0000713	ABB42751	ABL02735	BAF62031
OG0000714	ABB42752	ABL02748	BAF62043
OG0000715	ABB42754	ABL02750	BAF62045
OG0000716	ABB42755	ABL02751	BAF62046
OG0000717	ABB42756	ABL02752	BAF62047
OG0000718	ABB42757	ABL02753	BAF62048
OG0000719	ABB42758	ABL02754	BAF62049
OG0000720	ABB42759	ABL02755	BAF62050
OG0000721	ABB42760	ABL02756	BAF62051
OG0000722	ABB42765	ABL01868	BAF61211
OG0000723	ABB42779	ABL02235	BAF61561
OG0000724	ABB42783	ABL02720	BAF62015
OG0000725	ABB42785	ABL02744	BAF62040
OG0000726	ABB42786	ABL02742	BAF62038
OG0000727	ABB42787	ABL02741	BAF62037
OG0000728		ABL02094, ABL02717	BAF62012
OG0000729		ABL02576	BAF61761, BAF61891
OG0000730		ABL02580	BAF61759, BAF61895
OG0000731	ABB40627, ABB41806		
OG0000732	ABB40648, ABB42622		
OG0000733	ABB40668, ABB40696		
OG0000734	ABB40670, ABB40694		
OG0000735	ABB40672, ABB40692		
OG0000736	ABB40673, ABB40691		
OG0000737	ABB40675	ABL02041	
OG0000738	ABB40676	ABL02643	
OG0000739	ABB40680, ABB40685		
OG0000740	ABB40684, ABB40924		
OG0000741	ABB40707, ABB42635		
OG0000742	ABB40768		BAF61585
OG0000743	ABB40787	ABL01997	
OG0000744	ABB40802	ABL02038	
OG0000745	ABB40807, ABB42728		
OG0000746	ABB40816, ABB41115		
OG0000747	ABB40818, ABB42477		
OG0000748	ABB40830	ABL02651	
OG0000749	ABB40831, ABB41505		
OG0000750	ABB40832, ABB41506		
OG0000751	ABB40848, ABB41238		
OG0000752	ABB40869, ABB42352		
OG0000753	ABB40876, ABB42323		
OG0000754	ABB40947	ABL01818	
OG0000755	ABB40961, ABB40971		
OG0000756	ABB40973, ABB42239		
OG0000757	ABB40974, ABB42240		
OG0000758	ABB41003, ABB41814		
OG0000759	ABB41005, ABB41247		
OG0000760	ABB41007		BAF62076
OG0000761	ABB41013, ABB41911		
OG0000762	ABB41023, ABB41434		
OG0000763	ABB41024, ABB41435		
OG0000764	ABB41030, ABB41031		
OG0000765	ABB41036	ABL02676	
OG0000766	ABB41049	ABL02035	
OG0000767	ABB41052, ABB42464		
OG0000768	ABB41056, ABB42518		
OG0000769	ABB41062		BAF61397
OG0000770	ABB41070, ABB42146		
OG0000771	ABB41081	ABL02104	
OG0000772	ABB41084, ABB41483		
OG0000773	ABB41086, ABB42435		
OG0000774	ABB41087, ABB42436		
OG0000775	ABB41101	ABL02607	
OG0000776	ABB41118		BAF61729
OG0000777	ABB41126		BAF61549
OG0000778	ABB41133, ABB41134		
OG0000779	ABB41150, ABB41545		
OG0000780	ABB41175, ABB41177		
OG0000781	ABB41182	ABL02487	
OG0000782	ABB41183	ABL02202	
OG0000783	ABB41205, ABB42102		
OG0000784	ABB41225, ABB41547		
OG0000785	ABB41242	ABL02245	
OG0000786	ABB41248	ABL01998	
OG0000787	ABB41298	ABL01951	
OG0000788	ABB41323		BAF61442
OG0000789	ABB41346, ABB42204		
OG0000790	ABB41357	ABL02383	
OG0000791	ABB41367, ABB42526		
OG0000792	ABB41370, ABB42389		
OG0000793	ABB41377, ABB41562		
OG0000794	ABB41382, ABB41384		
OG0000795	ABB41428, ABB42710		
OG0000796	ABB41438, ABB41439		
OG0000797	ABB41451, ABB42377		
OG0000798	ABB41454, ABB41829		
OG0000799	ABB41489		BAF61473
OG0000800	ABB41532, ABB42698		
OG0000801	ABB41560, ABB42637		
OG0000802	ABB41595	ABL02495	
OG0000803	ABB41633, ABB41985		
OG0000804	ABB41682	ABL01995	
OG0000805	ABB41700, ABB42653		
OG0000806	ABB41706	ABL02625	
OG0000807	ABB41722, ABB41887		
OG0000808	ABB41730, ABB41731		
OG0000809	ABB41740	ABL02349	
OG0000810	ABB41754	ABL02425	
OG0000811	ABB41770		BAF61385
OG0000812	ABB41778, ABB41894		
OG0000813	ABB41779, ABB41893		
OG0000814	ABB41816, ABB42668		
OG0000815	ABB41825		BAF61913
OG0000816	ABB41826		BAF61914
OG0000817	ABB41830		BAF61356
OG0000818	ABB41853		BAF61806
OG0000819	ABB41891	ABL02096	
OG0000820	ABB41899, ABB42369		
OG0000821	ABB41928		BAF61836
OG0000822	ABB41929		BAF61281
OG0000823	ABB41932, ABB42499		
OG0000824	ABB41942, ABB42390		
OG0000825	ABB41946, ABB42463		
OG0000826	ABB41947, ABB42641		
OG0000827	ABB41961	ABL02746	
OG0000828	ABB41971		BAF62024
OG0000829	ABB41975		BAF61699
OG0000830	ABB41996	ABL02378	
OG0000831	ABB42007, ABB42307		
OG0000832	ABB42008, ABB42597		
OG0000833	ABB42009, ABB42596		
OG0000834	ABB42010, ABB42601		
OG0000835	ABB42012, ABB42467		
OG0000836	ABB42019, ABB42451		
OG0000837	ABB42040, ABB42721		
OG0000838	ABB42072, ABB42437		
OG0000839	ABB42076, ABB42286		
OG0000840	ABB42077	ABL02199	
OG0000841	ABB42103	ABL02621	
OG0000842	ABB42128	ABL02685	
OG0000843	ABB42155		BAF61513
OG0000844	ABB42164, ABB42706		
OG0000845	ABB42165, ABB42705		
OG0000846	ABB42166, ABB42704		
OG0000847	ABB42167, ABB42703		
OG0000848	ABB42170, ABB42696		
OG0000849	ABB42185	ABL02200	
OG0000850	ABB42187, ABB42469		
OG0000851	ABB42190, ABB42308		
OG0000852	ABB42191	ABL02689	
OG0000853	ABB42211	ABL02479	
OG0000854	ABB42213		BAF61240
OG0000855	ABB42244	ABL02223	
OG0000856	ABB42245	ABL02224	
OG0000857	ABB42267	ABL02602	
OG0000858	ABB42270	ABL02618	
OG0000859	ABB42272	ABL02617	
OG0000860	ABB42283	ABL02491	
OG0000861	ABB42294, ABB42474		
OG0000862	ABB42299	ABL02159	
OG0000863	ABB42330		BAF61147
OG0000864	ABB42346	ABL02187	
OG0000865	ABB42382, ABB42383		
OG0000866	ABB42415		BAF61253
OG0000867	ABB42422, ABB42479		
OG0000868	ABB42425		BAF61964
OG0000869	ABB42460, ABB42587		
OG0000870	ABB42471	ABL02384	
OG0000871	ABB42530	ABL02504	
OG0000872	ABB42531	ABL02505	
OG0000873	ABB42541	ABL02511	
OG0000874	ABB42549		BAF61262
OG0000875	ABB42595, ABB42746		
OG0000876	ABB42609	ABL02122	
OG0000877	ABB42646	ABL02405	
OG0000878	ABB42647	ABL02657	
OG0000879	ABB42662, ABB42681		
OG0000880	ABB42663, ABB42682		
OG0000881	ABB42664, ABB42683		
OG0000882	ABB42688	ABL01949	
OG0000883	ABB42712, ABB42771		
OG0000884	ABB42745		BAF61336
OG0000885	ABB42764	ABL01869	
OG0000886	ABB42772	ABL02691	
OG0000887		ABL01816	BAF61152
OG0000888		ABL01819	BAF61154
OG0000889		ABL01821	BAF61156
OG0000890		ABL01822	BAF61157
OG0000891		ABL01825	BAF61160
OG0000892		ABL01828	BAF61164
OG0000893		ABL01832	BAF61168
OG0000894		ABL01833	BAF61169
OG0000895		ABL01834	BAF61170
OG0000896		ABL01835	BAF61171
OG0000897		ABL01837	BAF61173
OG0000898		ABL01838	BAF61174
OG0000899		ABL01839	BAF61175
OG0000900		ABL01840	BAF61176
OG0000901		ABL01841	BAF61178
OG0000902		ABL01860	BAF61200
OG0000903		ABL01870	BAF61212
OG0000904		ABL01882	BAF61224
OG0000905		ABL01884	BAF61225
OG0000906		ABL01885	BAF61226
OG0000907		ABL01886	BAF61227
OG0000908		ABL01887	BAF61228
OG0000909		ABL01888	BAF61229
OG0000910		ABL01890	BAF61231
OG0000911		ABL01891	BAF61232
OG0000912		ABL01903	BAF61246
OG0000913		ABL01906	BAF61249
OG0000914		ABL01911	BAF61254
OG0000915		ABL01919	BAF61263
OG0000916		ABL01929	BAF61271
OG0000917		ABL01943	BAF61287
OG0000918		ABL01978	BAF61320
OG0000919		ABL01991	BAF61331
OG0000920		ABL02001	BAF61339
OG0000921		ABL02002	BAF61340
OG0000922		ABL02011	BAF61349
OG0000923		ABL02015	BAF61354
OG0000924		ABL02018	BAF61358
OG0000925		ABL02049	BAF61381
OG0000926		ABL02051	BAF61383
OG0000927		ABL02054	BAF61387
OG0000928		ABL02055	BAF61388
OG0000929		ABL02061	BAF61394
OG0000930		ABL02086	BAF61419
OG0000931		ABL02090	BAF61422
OG0000932		ABL02092	BAF61424
OG0000933		ABL02093	BAF61425
OG0000934		ABL02097	BAF61427
OG0000935		ABL02099	BAF61429
OG0000936		ABL02108	BAF61438
OG0000937		ABL02110	BAF61440
OG0000938		ABL02111	BAF61441
OG0000939		ABL02112	BAF61443
OG0000940		ABL02118	BAF61449
OG0000941		ABL02152	BAF61482
OG0000942		ABL02153	BAF61483
OG0000943		ABL02155	BAF61485
OG0000944		ABL02167	BAF61496
OG0000945		ABL02170	BAF61499
OG0000946		ABL02179	BAF61508
OG0000947		ABL02184	BAF61514
OG0000948		ABL02185, ABL02778	
OG0000949		ABL02196	BAF61526
OG0000950		ABL02209	BAF61535
OG0000951		ABL02229	BAF61555
OG0000952		ABL02237	BAF61563
OG0000953		ABL02262	BAF61586
OG0000954		ABL02268	BAF61591
OG0000955		ABL02271	BAF61594
OG0000956		ABL02280	BAF61601
OG0000957		ABL02300	BAF61622
OG0000958		ABL02319	BAF61641
OG0000959		ABL02323	BAF61645
OG0000960		ABL02325	BAF61647
OG0000961		ABL02327	BAF61649
OG0000962		ABL02333	BAF61655
OG0000963		ABL02339	BAF61660
OG0000964		ABL02341	BAF61662
OG0000965		ABL02346	BAF61667
OG0000966		ABL02348	BAF61669
OG0000967		ABL02359	BAF61679
OG0000968		ABL02364	BAF61684
OG0000969		ABL02368	BAF61688
OG0000970		ABL02371	BAF61691
OG0000971		ABL02385	BAF61703
OG0000972		ABL02395	BAF61712
OG0000973		ABL02396	BAF61713
OG0000974		ABL02401	BAF61719
OG0000975		ABL02411	BAF61727
OG0000976		ABL02412	BAF61728
OG0000977		ABL02414	BAF61732
OG0000978		ABL02418	BAF61742
OG0000979		ABL02419	BAF61743
OG0000980		ABL02421	BAF61745
OG0000981		ABL02426	BAF61749
OG0000982		ABL02427	BAF61750
OG0000983		ABL02441	BAF61769
OG0000984		ABL02444	BAF61773
OG0000985		ABL02445	BAF61774
OG0000986		ABL02446	BAF61775
OG0000987		ABL02451	BAF61780
OG0000988		ABL02453	BAF61782
OG0000989		ABL02464	BAF61793
OG0000990		ABL02465	BAF61794
OG0000991		ABL02467	BAF61796
OG0000992		ABL02480	BAF61808
OG0000993		ABL02482	BAF61809
OG0000994		ABL02483	BAF61810
OG0000995		ABL02494	BAF61817
OG0000996		ABL02497	BAF61819
OG0000997		ABL02500	BAF61821
OG0000998		ABL02515	BAF61831
OG0000999		ABL02518	BAF61834
OG0001000		ABL02525	BAF61841
OG0001001		ABL02540	BAF61856
OG0001002		ABL02544	BAF61859
OG0001003		ABL02556	BAF61871
OG0001004		ABL02564	BAF61879
OG0001005		ABL02565	BAF61880
OG0001006		ABL02569	BAF61883
OG0001007		ABL02574	BAF61889
OG0001008		ABL02575	BAF61890
OG0001009		ABL02577	BAF61892
OG0001010		ABL02578	BAF61893
OG0001011		ABL02579	BAF61894
OG0001012		ABL02581	BAF61896
OG0001013		ABL02582	BAF61897
OG0001014		ABL02583	BAF61898
OG0001015		ABL02584	BAF61899
OG0001016		ABL02585	BAF61900
OG0001017		ABL02586	BAF61901
OG0001018		ABL02595	BAF61910
OG0001019		ABL02596	BAF61911
OG0001020		ABL02619	BAF61918
OG0001021		ABL02620	BAF61920
OG0001022		ABL02635	BAF61934
OG0001023		ABL02655	BAF61951
OG0001024		ABL02665	BAF61961
OG0001025		ABL02673	BAF61971
OG0001026		ABL02680	BAF61978
OG0001027		ABL02693	BAF61987
OG0001028		ABL02706	BAF62000
OG0001029		ABL02716	BAF62010
OG0001030		ABL02719	BAF62014
OG0001031		ABL02721	BAF62016
OG0001032		ABL02728	BAF62023
OG0001033		ABL02734	BAF62030
OG0001034		ABL02738	BAF62034
OG0001035		ABL02740	BAF62036
OG0001036		ABL02745	BAF62041
OG0001037		ABL02769	BAF62063
OG0001038			BAF61515, BAF62072
